"Dros_TXN" "TDel_TXN" "gene" "TDel_CHR" "Dros_GID" "Dros_CHR" "phase" "geneID" "modified" "entrez" "name"
"25" "NM_079823.4" "rna-XM_038089879.1" "LOC119678178" "NC_051847.1" "stg" "NT_033777.3" "G2/M" "FBgn0003525" "9/13/17" "43466" "string"
"26" "NM_079844.4" "rna-XM_038093794.1" "LOC119680807" "NC_051847.1" "spn-A" "NT_033777.3" "S" "FBgn0003479" "9/13/17" "43577" "spindle A"
"27" "NM_080254.3" "rna-XM_038072061.1" "LOC119662438" "NC_051848.1" "cmet" "NT_033779.5" "G2/M" "FBgn0040232" "9/13/17" "53561" "CENP-meta"
"28" "NM_080488.3" "rna-XM_038093094.1" "LOC119680329" "NC_051847.1" "DNApol-alpha180" "NT_033777.3" "S" "FBgn0259113" "9/13/17" "42553" "DNA polymerase alpha 180kD subunit"
"29" "NM_130524.5" "rna-XM_038077649.1" "LOC119668206" "NC_051846.1" "Cdc45" "NC_004354.4" "S" "FBgn0026143" "9/13/17" "31052" "Cell division cycle 45"
"30" "NM_132187.3" "rna-XM_038080770.1" "LOC119670497" "NC_051846.1" "Nek2" "NC_004354.4" "G2/M" "FBgn0029970" "9/13/17" "31696" "Nek2"
"31" "NM_132293.3" "rna-XM_038079204.1" "LOC119669354" "NC_051846.1" "HP1b" "NC_004354.4" "G2/M" "FBgn0030082" "9/13/17" "31834" "Heterochromatin Protein 1b"
"32" "NM_136051.2" "rna-XM_038102357.1" "LOC119687844" "NC_051848.1" "CG10336" "NT_033779.5" "S" "FBgn0032698" "9/13/17" "35122" "uncharacterized protein"
"33" "NM_136233.3" "rna-XM_038082472.1" "LOC119671717" "NC_051846.1" "RPA2" "NT_033779.5" "S" "FBgn0032906" "9/13/17" "35364" "Replication protein A2"
"34" "NM_136745.5" "rna-XM_038094047.1" "LOC119680995" "NC_051847.1" "Caf1-105" "NT_033778.4" "S" "FBgn0033526" "9/13/17" "36107" "Chromatin assembly factor 1, p105 subunit"
"35" "NM_137416.3" "rna-XM_038094935.1" "LOC119681676" "NC_051847.1" "sub" "NT_033778.4" "G2/M" "FBgn0003545" "9/13/17" "44870" "subito"
"36" "NM_137622.3" "rna-XM_038097527.1" "LOC119683718" "NC_051847.1" "CG11788" "NT_033778.4" "S" "FBgn0034495" "9/13/17" "37295" "uncharacterized protein"
"37" "NM_139852.4" "rna-XM_038077780.1" "LOC119668315" "NC_051846.1" "CTCF" "NT_037436.4" "G2/M" "FBgn0035769" "9/13/17" "38817" "CTCF"
"38" "NM_139990.3" "rna-XM_038084222.1" "LOC119673022" "NC_051846.1" "Cdc6" "NT_037436.4" "S" "FBgn0035918" "9/13/17" "38989" "Cdc6"
"39" "NM_140325.3" "rna-XM_038079443.1" "LOC119669526" "NC_051846.1" "vih" "NT_037436.4" "G2/M" "FBgn0264848" "9/13/17" "44118" "vihar"
"40" "NM_143452.3" "rna-XM_038089674.1" "LOC119678036" "NC_051847.1" "Cap-D2" "NT_033777.3" "G2/M" "FBgn0039680" "9/13/17" "43491" "CAP-D2 condensin subunit"
"41" "NM_165180.2" "rna-XM_038101765.1" "LOC119687445" "NC_051848.1" "glu" "NT_033779.5" "G2/M" "FBgn0015391" "9/13/17" "35001" "gluon"
"42" "NM_166484.2" "rna-XM_038093298.1" "LOC119680477" "NC_051847.1" "LBR" "NT_033778.4" "G2/M" "FBgn0034657" "9/13/17" "37482" "Lamin B receptor"
